x,y
0,0
0.001,0.000510756
0.002,0.00102505
0.003,0.00154287
0.004,0.00206423
0.005,0.00258912
0.006,0.00311756
0.007,0.00364953
0.008,0.00418504
0.009,0.00472409
0.01,0.00526669
0.011,0.00581283
0.012,0.00636251
0.013,0.00691574
0.014,0.00747251
0.015,0.00803284
0.016,0.00859671
0.017,0.00916413
0.018,0.0097351
0.019,0.0103096
0.02,0.0108877
0.021,0.0114693
0.022,0.0120545
0.023,0.0126433
0.024,0.0132356
0.025,0.0138314
0.026,0.0144308
0.027,0.0150338
0.028,0.0156404
0.029,0.0162505
0.03,0.0168641
0.031,0.0174814
0.032,0.0181022
0.033,0.0187265
0.034,0.0193544
0.035,0.0199859
0.036,0.020621
0.037,0.0212597
0.038,0.0219019
0.039,0.0225477
0.04,0.023197
0.041,0.02385
0.042,0.0245065
0.043,0.0251666
0.044,0.0258302
0.045,0.0264975
0.046,0.0271683
0.047,0.0278427
0.048,0.0285207
0.049,0.0292023
0.05,0.0298874
0.051,0.0305762
0.052,0.0312685
0.053,0.0319644
0.054,0.0326639
0.055,0.033367
0.056,0.0340737
0.057,0.034784
0.058,0.0354979
0.059,0.0362153
0.06,0.0369364
0.061,0.037661
0.062,0.0383893
0.063,0.0391211
0.064,0.0398566
0.065,0.0405956
0.066,0.0413383
0.067,0.0420845
0.068,0.0428343
0.069,0.0435878
0.07,0.0443448
0.071,0.0451055
0.072,0.0458698
0.073,0.0466376
0.074,0.0474091
0.075,0.0481842
0.076,0.0489629
0.077,0.0497452
0.078,0.0505311
0.079,0.0513206
0.08,0.0521138
0.081,0.0529105
0.082,0.0537109
0.083,0.0545149
0.084,0.0553225
0.085,0.0561337
0.086,0.0569485
0.087,0.057767
0.088,0.0585891
0.089,0.0594148
0.09,0.0602441
0.091,0.0610771
0.092,0.0619136
0.093,0.0627538
0.094,0.0635976
0.095,0.0644451
0.096,0.0652962
0.097,0.0661509
0.098,0.0670092
0.099,0.0678711
0.1,0.0687367
0.101,0.069606
0.102,0.0704788
0.103,0.0713553
0.104,0.0722354
0.105,0.0731192
0.106,0.0740066
0.107,0.0748976
0.108,0.0757923
0.109,0.0766906
0.11,0.0775925
0.111,0.0784981
0.112,0.0794073
0.113,0.0803202
0.114,0.0812367
0.115,0.0821569
0.116,0.0830807
0.117,0.0840081
0.118,0.0849392
0.119,0.0858739
0.12,0.0868123
0.121,0.0877543
0.122,0.0887
0.123,0.0896493
0.124,0.0906023
0.125,0.0915589
0.126,0.0925192
0.127,0.0934831
0.128,0.0944507
0.129,0.095422
0.13,0.0963969
0.131,0.0973754
0.132,0.0983576
0.133,0.0993435
0.134,0.100333
0.135,0.101326
0.136,0.102323
0.137,0.103323
0.138,0.104328
0.139,0.105335
0.14,0.106347
0.141,0.107362
0.142,0.108381
0.143,0.109403
0.144,0.110429
0.145,0.111459
0.146,0.112493
0.147,0.11353
0.148,0.114571
0.149,0.115615
0.15,0.116663
0.151,0.117715
0.152,0.118771
0.153,0.11983
0.154,0.120892
0.155,0.121959
0.156,0.123029
0.157,0.124103
0.158,0.12518
0.159,0.126262
0.16,0.127346
0.161,0.128435
0.162,0.129527
0.163,0.130623
0.164,0.131723
0.165,0.132826
0.166,0.133933
0.167,0.135043
0.168,0.136158
0.169,0.137276
0.17,0.138397
0.171,0.139522
0.172,0.140651
0.173,0.141784
0.174,0.142921
0.175,0.144061
0.176,0.145204
0.177,0.146352
0.178,0.147503
0.179,0.148658
0.18,0.149816
0.181,0.150978
0.182,0.152144
0.183,0.153314
0.184,0.154487
0.185,0.155664
0.186,0.156844
0.187,0.158029
0.188,0.159217
0.189,0.160408
0.19,0.161604
0.191,0.162803
0.192,0.164005
0.193,0.165212
0.194,0.166422
0.195,0.167636
0.196,0.168853
0.197,0.170074
0.198,0.171299
0.199,0.172528
0.2,0.17376
0.201,0.174996
0.202,0.176236
0.203,0.177479
0.204,0.178726
0.205,0.179977
0.206,0.181231
0.207,0.18249
0.208,0.183751
0.209,0.185017
0.21,0.186286
0.211,0.187559
0.212,0.188836
0.213,0.190116
0.214,0.1914
0.215,0.192688
0.216,0.19398
0.217,0.195275
0.218,0.196574
0.219,0.197876
0.22,0.199182
0.221,0.200492
0.222,0.201806
0.223,0.203123
0.224,0.204444
0.225,0.205769
0.226,0.207098
0.227,0.20843
0.228,0.209766
0.229,0.211105
0.23,0.212449
0.231,0.213796
0.232,0.215146
0.233,0.216501
0.234,0.217859
0.235,0.219221
0.236,0.220586
0.237,0.221956
0.238,0.223329
0.239,0.224705
0.24,0.226086
0.241,0.22747
0.242,0.228857
0.243,0.230249
0.244,0.231644
0.245,0.233043
0.246,0.234446
0.247,0.235852
0.248,0.237262
0.249,0.238676
0.25,0.240093
0.251,0.241514
0.252,0.242939
0.253,0.244368
0.254,0.2458
0.255,0.247236
0.256,0.248676
0.257,0.250119
0.258,0.251566
0.259,0.253017
0.26,0.254471
0.261,0.25593
0.262,0.257392
0.263,0.258857
0.264,0.260327
0.265,0.2618
0.266,0.263277
0.267,0.264757
0.268,0.266241
0.269,0.267729
0.27,0.269221
0.271,0.270716
0.272,0.272215
0.273,0.273718
0.274,0.275224
0.275,0.276735
0.276,0.278248
0.277,0.279766
0.278,0.281287
0.279,0.282812
0.28,0.284341
0.281,0.285874
0.282,0.28741
0.283,0.28895
0.284,0.290493
0.285,0.29204
0.286,0.293591
0.287,0.295146
0.288,0.296704
0.289,0.298266
0.29,0.299832
0.291,0.301402
0.292,0.302975
0.293,0.304552
0.294,0.306133
0.295,0.307717
0.296,0.309305
0.297,0.310897
0.298,0.312492
0.299,0.314091
0.3,0.315694
0.301,0.317301
0.302,0.318911
0.303,0.320525
0.304,0.322143
0.305,0.323764
0.306,0.325389
0.307,0.327018
0.308,0.328651
0.309,0.330287
0.31,0.331927
0.311,0.33357
0.312,0.335218
0.313,0.336869
0.314,0.338523
0.315,0.340182
0.316,0.341844
0.317,0.34351
0.318,0.345179
0.319,0.346852
0.32,0.348529
0.321,0.35021
0.322,0.351894
0.323,0.353582
0.324,0.355274
0.325,0.35697
0.326,0.358669
0.327,0.360371
0.328,0.362078
0.329,0.363788
0.33,0.365502
0.331,0.36722
0.332,0.368941
0.333,0.370666
0.334,0.372395
0.335,0.374127
0.336,0.375863
0.337,0.377603
0.338,0.379346
0.339,0.381093
0.34,0.382844
0.341,0.384599
0.342,0.386357
0.343,0.388119
0.344,0.389885
0.345,0.391654
0.346,0.393427
0.347,0.395203
0.348,0.396984
0.349,0.398768
0.35,0.400555
0.351,0.402347
0.352,0.404142
0.353,0.405941
0.354,0.407743
0.355,0.409549
0.356,0.411359
0.357,0.413172
0.358,0.41499
0.359,0.41681
0.36,0.418635
0.361,0.420463
0.362,0.422295
0.363,0.424131
0.364,0.42597
0.365,0.427813
0.366,0.429659
0.367,0.431509
0.368,0.433363
0.369,0.435221
0.37,0.437082
0.371,0.438947
0.372,0.440816
0.373,0.442688
0.374,0.444564
0.375,0.446443
0.376,0.448327
0.377,0.450214
0.378,0.452104
0.379,0.453998
0.38,0.455896
0.381,0.457798
0.382,0.459703
0.383,0.461612
0.384,0.463525
0.385,0.465441
0.386,0.467361
0.387,0.469284
0.388,0.471211
0.389,0.473142
0.39,0.475077
0.391,0.477015
0.392,0.478956
0.393,0.480902
0.394,0.482851
0.395,0.484804
0.396,0.48676
0.397,0.48872
0.398,0.490684
0.399,0.492651
0.4,0.494622
0.401,0.496596
0.402,0.498575
0.403,0.500556
0.404,0.502542
0.405,0.504531
0.406,0.506524
0.407,0.50852
0.408,0.51052
0.409,0.512524
0.41,0.514531
0.411,0.516542
0.412,0.518556
0.413,0.520575
0.414,0.522596
0.415,0.524622
0.416,0.526651
0.417,0.528684
0.418,0.53072
0.419,0.53276
0.42,0.534803
0.421,0.53685
0.422,0.538901
0.423,0.540955
0.424,0.543013
0.425,0.545075
0.426,0.54714
0.427,0.549209
0.428,0.551281
0.429,0.553357
0.43,0.555437
0.431,0.55752
0.432,0.559607
0.433,0.561697
0.434,0.563791
0.435,0.565889
0.436,0.56799
0.437,0.570095
0.438,0.572203
0.439,0.574315
0.44,0.576431
0.441,0.57855
0.442,0.580673
0.443,0.582799
0.444,0.584929
0.445,0.587063
0.446,0.5892
0.447,0.59134
0.448,0.593484
0.449,0.595632
0.45,0.597784
0.451,0.599939
0.452,0.602097
0.453,0.604259
0.454,0.606425
0.455,0.608594
0.456,0.610767
0.457,0.612943
0.458,0.615123
0.459,0.617307
0.46,0.619494
0.461,0.621684
0.462,0.623878
0.463,0.626076
0.464,0.628277
0.465,0.630482
0.466,0.63269
0.467,0.634902
0.468,0.637118
0.469,0.639337
0.47,0.641559
0.471,0.643785
0.472,0.646015
0.473,0.648248
0.474,0.650484
0.475,0.652725
