x,y
0.994,0
0.99385,-0.0019787
0.993423,-0.00387502
0.99278,-0.00563505
0.991987,-0.00724005
0.991098,-0.0086958
0.990151,-0.0100184
0.989173,-0.0112264
0.988179,-0.0123367
0.987179,-0.0133638
0.986179,-0.0143199
0.985183,-0.0152146
0.984193,-0.0160561
0.983212,-0.016851
0.982239,-0.0176047
0.981276,-0.0183219
0.980322,-0.0190063
0.979377,-0.0196611
0.978442,-0.0202892
0.977515,-0.020893
0.976597,-0.0214744
0.975688,-0.0220353
0.974787,-0.0225773
0.973893,-0.0231017
0.973008,-0.0236097
0.97213,-0.0241025
0.971258,-0.024581
0.970394,-0.0250461
0.969536,-0.0254985
0.968685,-0.0259391
0.967839,-0.0263683
0.967,-0.0267869
0.966166,-0.0271954
0.965338,-0.0275941
0.964515,-0.0279837
0.963697,-0.0283644
0.962883,-0.0287368
0.962075,-0.029101
0.961271,-0.0294576
0.960472,-0.0298066
0.959677,-0.0301486
0.958886,-0.0304836
0.9581,-0.030812
0.957317,-0.031134
0.956538,-0.0314497
0.955762,-0.0317595
0.954991,-0.0320634
0.954222,-0.0323617
0.953457,-0.0326545
0.952696,-0.0329421
0.951937,-0.0332244
0.951182,-0.0335017
0.95043,-0.0337742
0.94968,-0.0340419
0.948934,-0.0343049
0.94819,-0.0345634
0.947449,-0.0348175
0.946711,-0.0350673
0.945975,-0.0353128
0.945242,-0.0355543
0.944511,-0.0357917
0.943782,-0.0360251
0.943056,-0.0362547
0.942333,-0.0364804
0.941611,-0.0367025
0.940892,-0.0369209
0.940175,-0.0371357
0.93946,-0.037347
0.938747,-0.0375549
0.938035,-0.0377594
0.937326,-0.0379605
0.936619,-0.0381584
0.935914,-0.038353
0.93521,-0.0385444
0.934509,-0.0387328
0.933809,-0.038918
0.93311,-0.0391003
0.932414,-0.0392795
0.931719,-0.0394558
0.931026,-0.0396292
0.930334,-0.0397997
0.929644,-0.0399675
0.928955,-0.0401324
0.928268,-0.0402946
0.927582,-0.040454
0.926898,-0.0406108
0.926215,-0.0407649
0.925534,-0.0409164
0.924854,-0.0410653
0.924175,-0.0412117
0.923497,-0.0413555
0.922821,-0.0414969
0.922146,-0.0416357
0.921473,-0.0417722
0.9208,-0.0419061
0.920129,-0.0420377
0.919459,-0.0421669
0.91879,-0.0422938
0.918122,-0.0424184
0.917455,-0.0425406
0.91679,-0.0426605
0.916125,-0.0427782
0.915461,-0.0428937
0.914799,-0.0430069
0.914138,-0.0431179
0.913477,-0.0432267
0.912818,-0.0433334
0.912159,-0.0434379
0.911502,-0.0435403
0.910845,-0.0436405
0.91019,-0.0437387
0.909535,-0.0438348
0.908881,-0.0439288
0.908228,-0.0440207
0.907576,-0.0441107
0.906925,-0.0441986
0.906274,-0.0442845
0.905625,-0.0443684
0.904976,-0.0444503
0.904328,-0.0445302
0.903681,-0.0446082
0.903034,-0.0446843
0.902389,-0.0447584
0.901744,-0.0448306
0.9011,-0.0449009
0.900456,-0.0449693
0.899813,-0.0450358
0.899171,-0.0451005
0.89853,-0.0451633
0.897889,-0.0452242
0.897249,-0.0452833
0.89661,-0.0453406
0.895972,-0.045396
0.895334,-0.0454497
0.894696,-0.0455015
0.894059,-0.0455515
0.893423,-0.0455998
0.892788,-0.0456463
0.892153,-0.045691
0.891519,-0.045734
0.890885,-0.0457752
0.890252,-0.0458147
0.889619,-0.0458524
0.888987,-0.0458885
0.888355,-0.0459228
0.887724,-0.0459554
0.887094,-0.0459863
0.886464,-0.0460155
0.885835,-0.046043
0.885206,-0.0460688
0.884577,-0.046093
0.883949,-0.0461155
0.883322,-0.0461364
0.882695,-0.0461556
0.882069,-0.0461731
0.881443,-0.046189
0.880817,-0.0462033
0.880192,-0.0462159
0.879567,-0.046227
0.878943,-0.0462364
0.878319,-0.0462442
0.877696,-0.0462504
0.877073,-0.046255
0.876451,-0.046258
0.875828,-0.0462594
0.875207,-0.0462592
0.874585,-0.0462575
0.873964,-0.0462541
0.873344,-0.0462493
0.872724,-0.0462428
0.872104,-0.0462348
0.871485,-0.0462253
0.870865,-0.0462142
0.870247,-0.0462015
0.869628,-0.0461873
0.86901,-0.0461716
0.868393,-0.0461543
0.867775,-0.0461356
0.867158,-0.0461153
0.866542,-0.0460935
0.865925,-0.0460701
0.865309,-0.0460453
0.864694,-0.0460189
0.864078,-0.0459911
0.863463,-0.0459618
0.862848,-0.0459309
0.862234,-0.0458986
0.861619,-0.0458648
0.861005,-0.0458295
0.860392,-0.0457927
0.859778,-0.0457544
0.859165,-0.0457147
0.858552,-0.0456735
0.85794,-0.0456309
0.857327,-0.0455867
0.856715,-0.0455412
0.856103,-0.0454941
0.855492,-0.0454456
0.85488,-0.0453957
0.854269,-0.0453443
0.853658,-0.0452915
0.853048,-0.0452372
0.852437,-0.0451815
0.851827,-0.0451243
0.851217,-0.0450658
0.850607,-0.0450057
0.849998,-0.0449443
0.849388,-0.0448814
0.848779,-0.0448172
0.84817,-0.0447515
0.847562,-0.0446843
0.846953,-0.0446158
0.846345,-0.0445459
0.845736,-0.0444745
0.845128,-0.0444017
0.844521,-0.0443276
0.843913,-0.044252
0.843305,-0.044175
0.842698,-0.0440967
0.842091,-0.0440169
0.841484,-0.0439358
0.840877,-0.0438532
0.840271,-0.0437693
0.839664,-0.043684
0.839058,-0.0435973
0.838451,-0.0435092
0.837845,-0.0434197
0.837239,-0.0433289
0.836634,-0.0432367
0.836028,-0.0431431
0.835423,-0.0430481
0.834817,-0.0429518
0.834212,-0.042854
0.833607,-0.042755
0.833002,-0.0426545
0.832397,-0.0425527
0.831792,-0.0424496
0.831187,-0.042345
0.830583,-0.0422392
0.829978,-0.0421319
0.829374,-0.0420233
0.82877,-0.0419134
0.828165,-0.0418021
0.827561,-0.0416894
0.826957,-0.0415754
0.826354,-0.0414601
0.82575,-0.0413434
0.825146,-0.0412254
0.824542,-0.041106
0.823939,-0.0409853
0.823335,-0.0408632
0.822732,-0.0407398
0.822129,-0.0406151
0.821525,-0.040489
0.820922,-0.0403616
0.820319,-0.0402329
0.819716,-0.0401028
0.819113,-0.0399714
0.81851,-0.0398387
0.817907,-0.0397046
0.817304,-0.0395692
0.816702,-0.0394325
0.816099,-0.0392945
0.815496,-0.0391552
0.814894,-0.0390145
0.814291,-0.0388725
0.813688,-0.0387292
0.813086,-0.0385846
0.812483,-0.0384386
0.811881,-0.0382914
0.811278,-0.0381428
0.810676,-0.0379929
0.810074,-0.0378417
0.809471,-0.0376892
0.808869,-0.0375353
0.808266,-0.0373802
0.807664,-0.0372238
0.807062,-0.037066
0.80646,-0.036907
0.805857,-0.0367466
0.805255,-0.0365849
0.804653,-0.036422
0.80405,-0.0362577
0.803448,-0.0360921
0.802846,-0.0359253
0.802244,-0.0357571
0.801641,-0.0355876
0.801039,-0.0354168
0.800437,-0.0352448
0.799834,-0.0350714
0.799232,-0.0348967
0.79863,-0.0347208
0.798027,-0.0345435
0.797425,-0.034365
0.796822,-0.0341851
0.79622,-0.034004
0.795617,-0.0338216
0.795015,-0.0336379
0.794412,-0.0334529
0.79381,-0.0332666
0.793207,-0.033079
0.792605,-0.0328902
0.792002,-0.0327
0.791399,-0.0325086
0.790796,-0.0323158
0.790194,-0.0321218
0.789591,-0.0319266
0.788988,-0.03173
0.788385,-0.0315321
0.787782,-0.031333
0.787179,-0.0311326
0.786576,-0.0309309
0.785972,-0.0307279
0.785369,-0.0305236
0.784766,-0.0303181
0.784162,-0.0301113
0.783559,-0.0299032
0.782955,-0.0296938
0.782352,-0.0294831
0.781748,-0.0292712
0.781144,-0.029058
0.780541,-0.0288435
0.779937,-0.0286278
0.779333,-0.0284108
0.778729,-0.0281925
0.778125,-0.0279729
0.77752,-0.027752
0.776916,-0.0275299
0.776312,-0.0273065
0.775707,-0.0270819
0.775102,-0.0268559
0.774498,-0.0266287
0.773893,-0.0264003
0.773288,-0.0261705
0.772683,-0.0259395
0.772078,-0.0257072
0.771473,-0.0254737
0.770867,-0.0252389
0.770262,-0.0250028
0.769656,-0.0247654
0.769051,-0.0245268
0.768445,-0.024287
0.767839,-0.0240458
0.767233,-0.0238034
0.766627,-0.0235597
0.766021,-0.0233148
0.765414,-0.0230686
0.764808,-0.0228211
0.764201,-0.0225724
0.763594,-0.0223224
0.762987,-0.0220711
0.76238,-0.0218186
0.761773,-0.0215648
0.761166,-0.0213098
0.760558,-0.0210535
0.759951,-0.0207959
0.759343,-0.0205371
0.758735,-0.020277
0.758127,-0.0200157
0.757519,-0.0197531
0.75691,-0.0194892
0.756302,-0.0192241
0.755693,-0.0189577
0.755084,-0.0186901
0.754475,-0.0184212
0.753866,-0.018151
0.753257,-0.0178796
0.752648,-0.017607
0.752038,-0.017333
0.751428,-0.0170579
0.750818,-0.0167814
0.750208,-0.0165037
0.749598,-0.0162248
0.748987,-0.0159446
0.748377,-0.0156631
0.747766,-0.0153804
0.747155,-0.0150964
0.746543,-0.0148112
0.745932,-0.0145247
0.74532,-0.014237
0.744709,-0.013948
0.744097,-0.0136578
0.743484,-0.0133663
0.742872,-0.0130735
0.74226,-0.0127795
0.741647,-0.0124843
0.741034,-0.0121878
0.740421,-0.01189
0.739807,-0.011591
0.739194,-0.0112908
0.73858,-0.0109893
0.737966,-0.0106865
0.737352,-0.0103825
0.736737,-0.0100772
0.736123,-0.00977072
0.735508,-0.00946295
0.734893,-0.00915394
0.734277,-0.00884368
0.733662,-0.00853217
0.733046,-0.00821941
0.73243,-0.00790539
0.731814,-0.00759013
0.731197,-0.00727363
0.730581,-0.00695587
0.729964,-0.00663686
0.729347,-0.00631661
0.728729,-0.00599511
0.728111,-0.00567236
0.727494,-0.00534836
0.726875,-0.00502311
0.726257,-0.00469662
0.725638,-0.00436888
0.725019,-0.0040399
0.7244,-0.00370966
0.723781,-0.00337818
0.723161,-0.00304546
0.722541,-0.00271149
0.721921,-0.00237627
0.721301,-0.0020398
0.72068,-0.00170209
0.720059,-0.00136314
0.719438,-0.00102294
0.718816,-0.000681495
0.718194,-0.000338806
0.717572,5.12867e-06
0.71695,0.000350307
0.716327,0.00069673
0.715704,0.0010444
0.715081,0.00139331
0.714458,0.00174346
0.713834,0.00209486
0.71321,0.0024475
0.712585,0.00280139
0.711961,0.00315651
0.711336,0.00351288
0.71071,0.0038705
0.710085,0.00422935
0.709459,0.00458945
0.708833,0.00495079
0.708206,0.00531337
0.707579,0.00567719
0.706952,0.00604226
0.706325,0.00640856
0.705697,0.00677611
0.705069,0.0071449
0.704441,0.00751492
0.703812,0.00788619
0.703183,0.0082587
0.702554,0.00863245
0.701924,0.00900744
0.701294,0.00938367
0.700663,0.00976113
0.700033,0.0101398
0.699402,0.0105198
0.69877,0.010901
0.698138,0.0112834
0.697506,0.0116671
0.696874,0.012052
0.696241,0.0124381
0.695608,0.0128255
0.694975,0.0132141
0.694341,0.0136039
0.693707,0.013995
0.693072,0.0143873
0.692437,0.0147809
0.691802,0.0151757
0.691166,0.0155717
0.69053,0.015969
0.689894,0.0163675
0.689257,0.0167672
0.68862,0.0171682
0.687982,0.0175704
0.687344,0.0179739
0.686706,0.0183785
0.686067,0.0187845
0.685428,0.0191916
0.684789,0.0196
0.684149,0.0200096
0.683508,0.0204204
0.682868,0.0208325
0.682227,0.0212458
0.681585,0.0216604
0.680943,0.0220761
0.680301,0.0224931
0.679658,0.0229114
0.679015,0.0233309
0.678372,0.0237516
0.677728,0.0241735
