x,y
0,0
0.001,0.00184343
0.002,0.00368686
0.003,0.00553029
0.004,0.00737372
0.005,0.00921715
0.006,0.0110606
0.007,0.012904
0.008,0.0147474
0.009,0.0165909
0.01,0.0184343
0.011,0.0202778
0.012,0.0221212
0.013,0.0239646
0.014,0.0258081
0.015,0.0276515
0.016,0.029495
0.017,0.0313384
0.018,0.0331819
0.019,0.0350253
0.02,0.0368688
0.021,0.0387122
0.022,0.0405557
0.023,0.0423992
0.024,0.0442426
0.025,0.0460861
0.026,0.0479296
0.027,0.0497731
0.028,0.0516166
0.029,0.0534601
0.03,0.0553036
0.031,0.0571471
0.032,0.0589906
0.033,0.0608342
0.034,0.0626777
0.035,0.0645213
0.036,0.0663648
0.037,0.0682084
0.038,0.070052
0.039,0.0718955
0.04,0.0737391
0.041,0.0755827
0.042,0.0774264
0.043,0.07927
0.044,0.0811136
0.045,0.0829573
0.046,0.0848009
0.047,0.0866446
0.048,0.0884883
0.049,0.090332
0.05,0.0921757
0.051,0.0940195
0.052,0.0958632
0.053,0.097707
0.054,0.0995508
0.055,0.101395
0.056,0.103238
0.057,0.105082
0.058,0.106926
0.059,0.10877
0.06,0.110614
0.061,0.112458
0.062,0.114302
0.063,0.116146
0.064,0.11799
0.065,0.119834
0.066,0.121678
0.067,0.123522
0.068,0.125366
0.069,0.12721
0.07,0.129054
0.071,0.130898
0.072,0.132742
0.073,0.134586
0.074,0.136431
0.075,0.138275
0.076,0.140119
0.077,0.141963
0.078,0.143808
0.079,0.145652
0.08,0.147497
0.081,0.149341
0.082,0.151185
0.083,0.15303
0.084,0.154874
0.085,0.156719
0.086,0.158564
0.087,0.160408
0.088,0.162253
0.089,0.164098
0.09,0.165942
0.091,0.167787
0.092,0.169632
0.093,0.171477
0.094,0.173321
0.095,0.175166
0.096,0.177011
0.097,0.178856
0.098,0.180701
0.099,0.182546
0.1,0.184392
0.101,0.186237
0.102,0.188082
0.103,0.189927
0.104,0.191772
0.105,0.193618
0.106,0.195463
0.107,0.197309
0.108,0.199154
0.109,0.201
0.11,0.202845
0.111,0.204691
0.112,0.206536
0.113,0.208382
0.114,0.210228
0.115,0.212074
0.116,0.21392
0.117,0.215766
0.118,0.217612
0.119,0.219458
0.12,0.221304
0.121,0.22315
0.122,0.224996
0.123,0.226842
0.124,0.228689
0.125,0.230535
0.126,0.232381
0.127,0.234228
0.128,0.236074
0.129,0.237921
0.13,0.239768
0.131,0.241615
0.132,0.243461
0.133,0.245308
0.134,0.247155
0.135,0.249002
0.136,0.250849
0.137,0.252696
0.138,0.254544
0.139,0.256391
0.14,0.258238
0.141,0.260086
0.142,0.261933
0.143,0.263781
0.144,0.265628
0.145,0.267476
0.146,0.269324
0.147,0.271172
0.148,0.27302
0.149,0.274868
0.15,0.276716
0.151,0.278564
0.152,0.280412
0.153,0.282261
0.154,0.284109
0.155,0.285958
0.156,0.287806
0.157,0.289655
0.158,0.291504
0.159,0.293352
0.16,0.295201
0.161,0.29705
0.162,0.298899
0.163,0.300749
0.164,0.302598
0.165,0.304447
0.166,0.306297
0.167,0.308146
0.168,0.309996
0.169,0.311846
0.17,0.313695
0.171,0.315545
0.172,0.317395
0.173,0.319246
0.174,0.321096
0.175,0.322946
0.176,0.324796
0.177,0.326647
0.178,0.328498
0.179,0.330348
0.18,0.332199
0.181,0.33405
0.182,0.335901
0.183,0.337752
0.184,0.339603
0.185,0.341455
0.186,0.343306
0.187,0.345158
0.188,0.347009
0.189,0.348861
0.19,0.350713
0.191,0.352565
0.192,0.354417
0.193,0.356269
0.194,0.358122
0.195,0.359974
0.196,0.361827
0.197,0.36368
0.198,0.365532
0.199,0.367385
