x,y
0,0
0.001,0.0107641
0.002,0.021498
0.003,0.0322017
0.004,0.0428755
0.005,0.0535193
0.006,0.0641334
0.007,0.0747178
0.008,0.0852727
0.009,0.0957981
0.01,0.106294
0.011,0.116761
0.012,0.127199
0.013,0.137607
0.014,0.147987
0.015,0.158338
0.016,0.16866
0.017,0.178954
0.018,0.189219
0.019,0.199456
0.02,0.209664
0.021,0.219845
0.022,0.229997
0.023,0.240121
0.024,0.250218
0.025,0.260286
0.026,0.270327
0.027,0.280341
0.028,0.290327
0.029,0.300286
0.03,0.310217
0.031,0.320121
0.032,0.329998
0.033,0.339849
0.034,0.349672
0.035,0.359469
0.036,0.369239
0.037,0.378982
0.038,0.388699
0.039,0.39839
0.04,0.408054
0.041,0.417692
0.042,0.427304
0.043,0.436891
0.044,0.446451
0.045,0.455985
0.046,0.465494
0.047,0.474977
0.048,0.484435
0.049,0.493867
0.05,0.503274
0.051,0.512656
0.052,0.522013
0.053,0.531344
0.054,0.540651
0.055,0.549933
0.056,0.55919
0.057,0.568422
0.058,0.57763
0.059,0.586813
0.06,0.595972
0.061,0.605106
0.062,0.614217
0.063,0.623303
0.064,0.632365
0.065,0.641403
0.066,0.650418
0.067,0.659408
0.068,0.668375
0.069,0.677318
0.07,0.686238
0.071,0.695134
0.072,0.704007
0.073,0.712857
0.074,0.721684
0.075,0.730487
0.076,0.739267
0.077,0.748025
0.078,0.75676
0.079,0.765471
0.08,0.774161
0.081,0.782827
0.082,0.791471
0.083,0.800093
0.084,0.808692
0.085,0.817269
0.086,0.825824
0.087,0.834357
0.088,0.842868
0.089,0.851356
0.09,0.859823
0.091,0.868268
0.092,0.876692
0.093,0.885094
0.094,0.893474
0.095,0.901833
0.096,0.91017
0.097,0.918486
0.098,0.926781
0.099,0.935055
0.1,0.943307
0.101,0.951539
0.102,0.959749
0.103,0.967939
0.104,0.976108
0.105,0.984257
0.106,0.992384
0.107,1.00049
0.108,1.00858
0.109,1.01664
0.11,1.02469
0.111,1.03272
0.112,1.04072
0.113,1.04871
0.114,1.05667
0.115,1.06462
0.116,1.07254
0.117,1.08045
0.118,1.08833
